wavelength	irradiance
501.2171	0.0099
501.7529	0.0103
502.2886	0.0106
502.8242	0.0109
503.3596	0.0111
503.8949	0.0114
504.4301	0.0118
504.9652	0.012
505.5001	0.0124
506.0349	0.0127
506.5696	0.0129
507.1042	0.0131
507.6387	0.0134
508.173	0.0137
508.7072	0.0139
509.2412	0.0141
509.7752	0.0143
510.309	0.0146
510.8427	0.0148
511.3763	0.0148
511.9097	0.0151
512.4431	0.0153
512.9763	0.0155
513.5093	0.0156
514.0423	0.0158
514.5751	0.0159
515.1078	0.016
515.6404	0.0161
516.1728	0.0163
516.7052	0.0164
517.2374	0.0165
517.7695	0.0166
518.3014	0.0167
518.8333	0.0169
519.365	0.0169
519.8965	0.0171
520.428	0.0171
520.9593	0.0172
521.4906	0.0173
522.0216	0.0174
522.5526	0.0175
523.0834	0.0176
523.6142	0.0177
524.1447	0.0179
524.6752	0.0179
525.2056	0.018
525.7358	0.018
526.2659	0.0181
526.7958	0.0183
527.3257	0.0184
527.8554	0.0185
528.385	0.0186
528.9145	0.0187
529.4438	0.0188
529.973	0.019
530.5021	0.0191
531.0311	0.0191
531.5599	0.0192
532.0887	0.0193
532.6173	0.0193
533.1457	0.0194
533.6741	0.0195
534.2023	0.0196
534.7304	0.0197
535.2584	0.0198
535.7863	0.0199
536.314	0.02
536.8416	0.0201
537.3691	0.0202
537.8964	0.0201
538.4237	0.0202
538.9508	0.0202
539.4778	0.0202
540.0046	0.0202
540.5313	0.0202
541.058	0.0203
541.5844	0.0202
542.1108	0.0202
542.637	0.0201
543.1632	0.02
543.6891	0.02
544.215	0.02
544.7407	0.0199
545.2664	0.0198
545.7919	0.0198
546.3172	0.0198
546.8425	0.0197
547.3676	0.0196
547.8926	0.0195
548.4174	0.0195
548.9422	0.0193
549.4668	0.0192
549.9913	0.0192
550.5157	0.019
551.0399	0.0189
551.5641	0.0188
552.0881	0.0187
552.6119	0.0186
553.1357	0.0184
553.6593	0.0184
554.1828	0.0183
554.7062	0.0182
555.2294	0.0181
555.7526	0.018
556.2756	0.0179
556.7985	0.0178
557.3212	0.0177
557.8438	0.0177
558.3664	0.0176
558.8887	0.0176
559.411	0.0176
559.9331	0.0176
560.4551	0.0175
560.977	0.0175
561.4988	0.0175
562.0204	0.0175
562.5419	0.0175
563.0633	0.0176
563.5846	0.0176
564.1057	0.0175
564.6267	0.0177
565.1476	0.0178
565.6684	0.0178
566.189	0.0179
566.7096	0.018
567.23	0.0181
567.7502	0.0182
568.2704	0.0183
568.7904	0.0184
569.3103	0.0185
569.8301	0.0185
570.3497	0.0188
570.8692	0.0188
571.3886	0.0189
571.9079	0.019
572.427	0.0191
572.9461	0.0193
573.465	0.0194
573.9838	0.0195
574.5024	0.0196
575.0209	0.0198
575.5393	0.0199
576.0576	0.0201
576.5758	0.0202
577.0938	0.0201
577.6117	0.0203
578.1295	0.0204
578.6471	0.0205
579.1647	0.0206
579.6821	0.0207
580.1994	0.0208
580.7165	0.0208
581.2336	0.0209
581.7505	0.0208
582.2673	0.0211
582.7839	0.021
583.3005	0.0211
583.8169	0.0211
584.3332	0.0211
584.8493	0.0211
585.3654	0.021
585.8813	0.021
586.3971	0.0212
586.9128	0.0211
587.4283	0.021
587.9437	0.0211
588.459	0.0209
588.9742	0.0208
589.4892	0.0208
590.0042	0.0207
590.519	0.0208
591.0336	0.0206
591.5482	0.0204
592.0626	0.0205
592.5769	0.0203
593.0911	0.0203
593.6051	0.0201
594.1191	0.0201
594.6329	0.0201
595.1466	0.0199
595.6601	0.0199
596.1735	0.0197
596.6868	0.0196
597.2	0.0195
597.7131	0.0195
598.226	0.0193
598.7388	0.0193
599.2515	0.019
599.7641	0.0189
600.2765	0.0188
600.7888	0.0187
601.301	0.0186
601.8131	0.0185
602.325	0.0183
602.8368	0.0182
603.3485	0.0182
603.8601	0.0179
604.3715	0.0179
604.8828	0.0178
605.394	0.0175
605.9051	0.0174
606.416	0.0173
606.9269	0.0173
607.4375	0.0172
607.9481	0.0169
608.4586	0.0168
608.9689	0.0168
609.4791	0.0166
609.9892	0.0167
610.4991	0.0165
611.0089	0.0164
611.5186	0.0162
612.0282	0.0163
612.5377	0.016
613.047	0.016
613.5562	0.0159
614.0653	0.0158
614.5742	0.0158
615.0831	0.0157
615.5918	0.0155
616.1003	0.0154
616.6088	0.0154
617.1171	0.0153
617.6253	0.0152
618.1334	0.0151
618.6414	0.0149
619.1492	0.0149
619.6569	0.0149
620.1645	0.0148
620.672	0.0147
621.1793	0.0146
621.6865	0.0144
622.1936	0.0144
622.7006	0.0143
623.2074	0.0142
623.7141	0.0142
624.2207	0.0141
624.7272	0.014
625.2335	0.0139
625.7398	0.0138
626.2458	0.0136
626.7518	0.0135
627.2577	0.0136
627.7634	0.0134
628.269	0.0133
628.7745	0.0132
629.2798	0.013
629.785	0.013
630.2901	0.0129
630.7951	0.0128
631.3	0.0127
631.8047	0.0125
632.3093	0.0125
632.8138	0.0125
633.3181	0.0122
633.8223	0.0121
634.3264	0.0121
634.8304	0.012
635.3343	0.0118
635.838	0.0116
636.3416	0.0116
636.8451	0.0115
637.3485	0.0114
637.8517	0.0113
638.3548	0.0111
638.8578	0.0111
639.3607	0.0109
639.8634	0.0108
640.366	0.0108
640.8685	0.0105
