wavelength	irradiance
7.053979E+2	2.329488E-4
7.071345E+2	2.361689E-4
7.088710E+2	2.380652E-4
7.106071E+2	2.389013E-4
7.123430E+2	2.394671E-4
7.140786E+2	2.435756E-4
7.158139E+2	2.485307E-4
7.175488E+2	2.506280E-4
7.192834E+2	2.496753E-4
7.210177E+2	2.518876E-4
7.227515E+2	2.549893E-4
7.244850E+2	2.576812E-4
7.262181E+2	2.605136E-4
7.279508E+2	2.609234E-4
7.296830E+2	2.613819E-4
7.314148E+2	2.669174E-4
7.331461E+2	2.687554E-4
7.348769E+2	2.699375E-4
7.366072E+2	2.747833E-4
7.383371E+2	2.780143E-4
7.400663E+2	2.783975E-4
7.417951E+2	2.789352E-4
7.435233E+2	2.786144E-4
7.452509E+2	2.814026E-4
7.469779E+2	2.837713E-4
7.487043E+2	2.931157E-4
7.504301E+2	2.916261E-4
7.521553E+2	2.898691E-4
7.538798E+2	2.975162E-4
7.556036E+2	2.978516E-4
7.573268E+2	3.053093E-4
7.590492E+2	3.002921E-4
7.607710E+2	3.085359E-4
7.624920E+2	3.049689E-4
7.642122E+2	3.105272E-4
7.659317E+2	3.119533E-4
7.676504E+2	3.132279E-4
7.693684E+2	3.204603E-4
7.710855E+2	3.174959E-4
7.728018E+2	3.173558E-4
7.745172E+2	3.192552E-4
7.762318E+2	3.211004E-4
7.779456E+2	3.305853E-4
7.796584E+2	3.309631E-4
7.813704E+2	3.244745E-4
7.830814E+2	3.260521E-4
7.847915E+2	3.282316E-4
7.865006E+2	3.301951E-4
7.882088E+2	3.407632E-4
7.899160E+2	3.408207E-4
7.916223E+2	3.350847E-4
